Sr No,tweet,label
1,"Hysteria surrounding #coronavirus NZ daycare requesting all children who have visited a country with any confirmed cases be excluded for 2 weeks. This includes Australia. So, despite us only visiting Adelaide where there are no confirmed cases, we are in this category ??",3
2,Thank you @TheOnion for dragging all of us under the artful guise of satire. V helpful #coronavirus advice ?? https://t.co/Oly95Sul5f,1
3,#avetmissdone is catching on faster than the #coronavirus... but no deaths yet! ??,1
4,They just said #Tonysnell was back from the flu... they said he shot like he had the #coronavirus ????,2
5,"Forget locking them up on an island to die slowly; Jessica here has the solution ??
#CoronaVirus",2
6,Please keep posted!?????? #CoronaVirus #Gensan #StElizabethHospitalInc #SEHI https://t.co/fx4cFWT6dO,3
7,What did Richard Jefferson say? ?? #coronavirus https://t.co/KYw9DsKi6W,3
8,"When that coronavirus says ""Ni Hao Ma"" me get you sick to quarantine! ???? #Coronavirus https://t.co/AFh5YVb9bW",2
9,"Halt???
all??commercial??flights??from #China???? to #USA 
??#CoronaVirus??",3
10,"BREAKING: Update on #CoronaVirus

- 7811 infected.
- 12 167 suspected cases.
- 170 dead.
- 1370 in serious condition.

1228% increase in infected people since last week.

Why are we not quarantining all flights from China yet??? 

This is spreading fast??

???????????????????2",2
11,"#WuhanCoronavirus #Coronavirus
A young man was recovered and discharged from a local hospital in Shanxi. BEST WISHES! ???
https://t.co/CpnHiRRo0W",1
12,"#WuhanCoronavirus #Coronavirus
A young man was recovered and discharged from the local hospital in Shanxi. BEST WISHES! ????????? https://t.co/VxxXJZsqu6",1
13,"Going back to hongkong, thinking if it's safe to go back so soon?????

#coronavirus",2
14,Japan flies citizens home from virus-hit Wuhan https://t.co/lnpj0GzkiI via @YouTube #coronavirus ??,1
15,#coronavirus is depopulation at its finest ??,2
16,"FUTURES triple digits down &amp; not too happy atm??

https://t.co/854GvOyUPJ

Seems unless a stock is #coronavirus related, best be sidelines for now or NO PLAY seems BEST PLAY???????? https://t.co/HasdW5HPer",3
17,If #coronavirus had a face... ?????? https://t.co/PG9zpIr2P9,2
